Symbol,Security,SEC filings,sector,GICS Sub Industry,CIK
ATVI,Activision Blizzard,reports,Communication Services,Interactive Home Entertainment,718877
GOOGL,Alphabet Inc Class A,reports,Communication Services,Interactive Media & Services,1652044
GOOG,Alphabet Inc Class C,reports,Communication Services,Interactive Media & Services,1652044
T,AT&T Inc.,reports,Communication Services,Integrated Telecommunication Services,732717
CTL,CenturyLink Inc,reports,Communication Services,Alternative Carriers,18926
CHTR,Charter Communications,reports,Communication Services,Cable & Satellite,1091667
CMCSA,Comcast Corp.,reports,Communication Services,Cable & Satellite,1166691
DISCA,Discovery Inc. Class A,reports,Communication Services,Broadcasting,1437107
DISCK,Discovery Inc. Class C,reports,Communication Services,Broadcasting,1437107
DISH,Dish Network,reports,Communication Services,Cable & Satellite,1001082
EA,Electronic Arts,reports,Communication Services,Interactive Home Entertainment,712515
FB,"Facebook, Inc.",reports,Communication Services,Interactive Media & Services,1326801
FOXA,Fox Corporation Class A,reports,Communication Services,Movies & Entertainment,1308161
FOX,Fox Corporation Class B,reports,Communication Services,Movies & Entertainment,1308161
IPG,Interpublic Group,reports,Communication Services,Advertising,51644
LYV,Live Nation Entertainment,reports,Communication Services,Movies & Entertainment,1335258
NFLX,Netflix Inc.,reports,Communication Services,Movies & Entertainment,1065280
NWSA,News Corp. Class A,reports,Communication Services,Publishing,1564708
NWS,News Corp. Class B,reports,Communication Services,Publishing,1564708
OMC,Omnicom Group,reports,Communication Services,Advertising,29989
TMUS,T-Mobile US,reports,Communication Services,Wireless Telecommunication Services,1283699
TTWO,Take-Two Interactive,reports,Communication Services,Interactive Home Entertainment,946581
TWTR,"Twitter, Inc.",reports,Communication Services,Interactive Media & Services,1418091
VZ,Verizon Communications,reports,Communication Services,Integrated Telecommunication Services,732712
VIAC,ViacomCBS,reports,Communication Services,Movies & Entertainment,1339947
DIS,The Walt Disney Company,reports,Communication Services,Movies & Entertainment,1001039
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,1158449
AMZN,Amazon.com Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,1018724
APTV,Aptiv PLC,reports,Consumer Discretionary,Auto Parts & Equipment,1521332
AZO,AutoZone Inc,reports,Consumer Discretionary,Specialty Stores,866787
BBY,Best Buy Co. Inc.,reports,Consumer Discretionary,Computer & Electronics Retail,764478
BKNG,Booking Holdings Inc,reports,Consumer Discretionary,Internet & Direct Marketing Retail,1075531
BWA,BorgWarner,reports,Consumer Discretionary,Auto Parts & Equipment,908255
CPRI,Capri Holdings,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1530721
KMX,Carmax Inc,reports,Consumer Discretionary,Specialty Stores,1170010
CCL,Carnival Corp.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",815097
CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,1058090
DHI,D. R. Horton,reports,Consumer Discretionary,Homebuilding,882184
DRI,Darden Restaurants,reports,Consumer Discretionary,Restaurants,940944
DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,29534
DLTR,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores,935703
EBAY,eBay Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,1065088
EXPE,Expedia Group,reports,Consumer Discretionary,Internet & Direct Marketing Retail,1324424
F,Ford Motor Company,reports,Consumer Discretionary,Automobile Manufacturers,37996
GPS,Gap Inc.,reports,Consumer Discretionary,Apparel Retail,39911
GRMN,Garmin Ltd.,reports,Consumer Discretionary,Consumer Electronics,1121788
GM,General Motors,reports,Consumer Discretionary,Automobile Manufacturers,1467858
GPC,Genuine Parts,reports,Consumer Discretionary,Specialty Stores,40987
HRB,H&R Block,reports,Consumer Discretionary,Specialized Consumer Services,12659
HBI,Hanesbrands Inc,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1359841
HOG,Harley-Davidson,reports,Consumer Discretionary,Motorcycle Manufacturers,793952
HAS,Hasbro Inc.,reports,Consumer Discretionary,Leisure Products,46080
HLT,Hilton Worldwide Holdings Inc,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1585689
HD,Home Depot,reports,Consumer Discretionary,Home Improvement Retail,354950
KSS,Kohl's Corp.,reports,Consumer Discretionary,General Merchandise Stores,885639
LB,L Brands Inc.,reports,Consumer Discretionary,Apparel Retail,701985
LVS,Las Vegas Sands,reports,Consumer Discretionary,Casinos & Gaming,1300514
LEG,Leggett & Platt,reports,Consumer Discretionary,Home Furnishings,58492
LEN,Lennar Corp.,reports,Consumer Discretionary,Homebuilding,920760
LKQ,LKQ Corporation,reports,Consumer Discretionary,Distributors,1065696
